"Nome da campanha","Segmentos de público","Nome do anúncio","Status de veiculação","Nível de veiculação",Frequência,Impressões,"Hook Rate","Reproduções de 100% do vídeo","Valor usado (BRL)","Cliques no link","Visualizações da página de destino do site","CPC (custo por clique no link)","CTR (todos)","CPM (custo por 1.000 impressões)","Tipo de resultado","Custo por resultado","Finalizações de compra iniciadas","Taxa de conversão",Resultados,"ROAS (retorno sobre o investimento em publicidade) das compras","Tipo de valor de resultado","Valor dos resultados","Início dos relatórios","Encerramento dos relatórios"
"[C] [LM - TESTE] [ABO]",prospecting,AD2,active,ad,4.39465507,3989525,0.03837349,,32028.04509283,18814,14124,1.70235171,,8.02803469,"Compras no site",57.81235576,2078,0.02944616,554,2.89604344,"Valor de conversão da compra no site",92754.61,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",prospecting,"ADS - TOFU",inactive,ad,2.48945864,3289252,0.26498639,,73050.69983843,32050,26885,2.27927301,,22.20890945,"Compras no site",72.90489006,4549,0.03126365,1002,2.25575786,"Valor de conversão da compra no site",164784.69,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",prospecting,"ADS - LARI TOFU",inactive,ad,1.81271554,2655989,0.32626076,,46288.331556,18330,16503,2.52527723,,17.42790786,"Compras no site",76.13212427,2630,0.03316967,608,2.46559135,"Valor de conversão da compra no site",114128.11,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",prospecting,"AD - LUCIANA MOFU",inactive,ad,2.23888299,2543286,0.21506822,,57628.88364782,27739,23202,2.07754006,,22.65922262,"Compras no site",62.16708053,3408,0.03341865,927,2.58477417,"Valor de conversão da compra no site",148957.65,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",prospecting,"AD - MOFU",active,ad,2.37828121,2464834,0.38734292,,66844.40869047,58774,8942,1.13731256,,27.11923346,"Compras no site",78.27214132,8341,0.01453023,854,2.6857449,"Valor de conversão da compra no site",179527.03,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"AD - BOFU 1 — Cópia",active,ad,2.6515664,2274922,0.0011974,,14570.46790882,6533,4563,2.23028745,,6.40482087,"Compras no site",90.49980068,483,0.02464411,161,2.13867394,"Valor de conversão da compra no site",31161.48,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",engaged,"AD - LEVE 3 PAGUE 2",active,ad,8.65654816,2143924,0,,58553.59314214,29351,21832,1.99494372,,27.31141269,"Compras no site",52.65610894,3657,0.03788627,1112,3.84149047,"Valor de conversão da compra no site",224933.07,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",prospecting,"AD - LEVE 3 PAGUE 2",active,ad,3.94747973,1978615,0,,48674.42264971,25340,19759,1.9208533,,24.60024949,"Compras no site",60.69130006,2701,0.03164957,802,3.29571059,"Valor de conversão da compra no site",160416.81,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,AD1,inactive,ad,2.72756864,1957456,0,,22232.44367629,13561,11172,1.63943984,,11.3578255,"Compras no site",58.04815581,1860,0.02824275,383,2.90341993,"Valor de conversão da compra no site",64550.12,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",prospecting,"AD - CAMPEÃO TOFU",active,ad,1.88614985,1954370,0.40451757,,76501.73462118,80356,71833,0.95203513,,39.14393622,"Compras no site",78.22263254,9444,0.01217084,978,2.85727482,"Valor de conversão da compra no site",218586.48,2026-01-01,2026-05-25
