"Nome do conjunto de anúncios","Nome da campanha","Nome do anúncio","Segmentos de público","Veiculação do anúncio",Alcance,Impressões,Frequência,"Tipo de resultado",Resultados,"Custo por resultado","Valor usado (BRL)",Início,Término,"CPM (custo por 1.000 impressões)","Cliques no link","CPC (custo por clique no link)","CTR (taxa de cliques no link)","Início dos relatórios","Encerramento dos relatórios"
"[PUBLICO ENG.] [DR]","[C] [TONS] [PB DR]","AD - CAMPEÃO TOFU",prospecting,active,1035460,1953158,1.88627084,"Compras no site",978,78.17060755,76450.85417937,2025-06-20,Contínuo,39.14217599,80300,0.95206543,4.11129054,2026-01-01,2026-05-25
"[AQUISIÇÃO]  [ADV. +]","[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - TOFU",prospecting,inactive,1321272,3289252,2.48945864,"Compras no site",1002,72.90489006,73050.69983843,2026-01-23,Contínuo,22.20890945,32050,2.27927301,0.97438567,2026-01-01,2026-05-25
"[PUBLICO ENG.] [DR]","[C] [TONS] [PB DR]","AD - MOFU",prospecting,active,1036392,2464790,2.37824105,"Compras no site",854,78.27047469,66842.9853866,2025-06-20,Contínuo,27.11914012,58774,1.13728835,2.38454392,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - LEVE 3 PAGUE 2",existing,active,104213,1796698,17.24063217,"Compras no site",1189,53.28562198,63356.60453767,2025-10-13,Contínuo,35.26280128,25389,2.49543521,1.41309224,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - LEVE 3 PAGUE 2",engaged,active,247381,2143043,8.6629248,"Compras no site",1112,52.63993135,58535.60366422,2025-10-13,Contínuo,27.31424599,29334,1.99548659,1.36880128,2026-01-01,2026-05-25
"[PUBLICO ABERTO]","[C] [LM - PRINCIPAL] [PLANO B] 1 TESTE","Rmkt Dani 2 — Cópia",prospecting,not_delivering,937398,3887241,4.14684158,"Compras no site",944,61.85871531,58394.6272489,2025-12-10,Contínuo,15.02212681,21296,2.74204673,0.54784357,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - LUCIANA MOFU",prospecting,inactive,1135962,2543286,2.23888299,"Compras no site",927,62.16708053,57628.88364782,2025-10-13,Contínuo,22.65922262,27739,2.07754006,1.09067561,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - LEVE 3 PAGUE 2",prospecting,active,498801,1975737,3.96097241,"Compras no site",802,60.63492804,48629.21228925,2025-10-13,Contínuo,24.61320119,25297,1.9223312,1.28038297,2026-01-01,2026-05-25
"[AQUISIÇÃO]  [ADV. +]","[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - LARI TOFU",prospecting,inactive,1465199,2655989,1.81271554,"Compras no site",608,76.13212427,46288.331556,2026-01-23,Contínuo,17.42790786,18330,2.52527723,0.6901384,2026-01-01,2026-05-25
"[AQUISIÇÃO]  [ADV. +]","[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - BOFU",prospecting,inactive,598682,1929934,3.22363792,"Compras no site",681,62.41941969,42507.62480606,2026-01-23,Contínuo,22.02542927,17161,2.47698997,0.88920139,2026-01-01,2026-05-25
