"Nome da campanha","Nome do anúncio","Nome do conjunto de anúncios","Segmentos de público","Status de veiculação","Nível de veiculação",Frequência,Impressões,"Hook Rate","Reproduções de 100% do vídeo","Valor usado (BRL)","Cliques no link","Visualizações da página de destino do site","CPC (custo por clique no link)","CTR (todos)","CPM (custo por 1.000 impressões)","Tipo de resultado","Custo por resultado","Finalizações de compra iniciadas","Taxa de conversão",Resultados,"ROAS (retorno sobre o investimento em publicidade) das compras","Tipo de valor de resultado","Valor dos resultados","Início dos relatórios","Encerramento dos relatórios"
"[C] [LM - TESTE] [ABO]",AD2,"[HIBRIDO] [ESTATICO ORG.] [BID 60]",prospecting,active,ad,4.39485117,3989725,0.03837432,,32029.52789964,18814,14126,1.70243053,,8.02800391,"Compras no site",57.71086108,2079,0.02949931,555,2.90110208,"Valor de conversão da compra no site",92920.93,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - TOFU","[AQUISIÇÃO]  [ADV. +]",prospecting,inactive,ad,2.48945864,3289252,0.26498639,,73050.69983843,32050,26885,2.27927301,,22.20890945,"Compras no site",72.90489006,4549,0.03126365,1002,2.25575786,"Valor de conversão da compra no site",164784.69,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - LARI TOFU","[AQUISIÇÃO]  [ADV. +]",prospecting,inactive,ad,1.81271554,2655989,0.32626076,,46288.331556,18330,16503,2.52527723,,17.42790786,"Compras no site",76.13212427,2630,0.03316967,608,2.46559135,"Valor de conversão da compra no site",114128.11,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","AD - LUCIANA MOFU","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",prospecting,inactive,ad,2.23888299,2543286,0.21506822,,57628.88364782,27739,23202,2.07754006,,22.65922262,"Compras no site",62.16708053,3408,0.03341865,927,2.58477417,"Valor de conversão da compra no site",148957.65,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD - MOFU","[PUBLICO ENG.] [DR]",prospecting,active,ad,2.3782887,2464837,0.38734407,,66844.45499699,58775,8943,1.137294,,27.11921924,"Compras no site",78.27219555,8341,0.01452999,854,2.68574304,"Valor de conversão da compra no site",179527.03,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - BOFU 1 — Cópia","[HIBRIDO] [ESTATICO ORG.] [BID 60]",prospecting,active,ad,2.65495369,2278691,0.00119893,,14598.73129492,6544,4565,2.23085747,,6.40663052,"Compras no site",90.67534966,483,0.02460269,161,2.13453343,"Valor de conversão da compra no site",31161.48,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","AD - LEVE 3 PAGUE 2","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",engaged,active,ad,8.65672317,2143976,0,,58554.6632437,29351,21832,1.99498018,,27.3112494,"Compras no site",52.65707126,3658,0.03788627,1112,3.84142027,"Valor de conversão da compra no site",224933.07,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","AD - LEVE 3 PAGUE 2","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",prospecting,active,ad,3.9477771,1978768,0,,48677.90245646,25341,19760,1.92091482,,24.60010595,"Compras no site",60.69563897,2702,0.03164832,802,3.29547499,"Valor de conversão da compra no site",160416.81,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",AD1,"[TOFU] [TIK + ORG ] [ABERTO]",prospecting,inactive,ad,2.72756864,1957456,0,,22232.44367629,13561,11172,1.63943984,,11.3578255,"Compras no site",58.04815581,1860,0.02824275,383,2.90341993,"Valor de conversão da compra no site",64550.12,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD - CAMPEÃO TOFU","[PUBLICO ENG.] [DR]",prospecting,active,ad,1.88622767,1954428,0.40453012,,76505.09035913,80358,71836,0.95205319,,39.14449156,"Compras no site",78.22606376,9444,0.01217054,978,2.85714949,"Valor de conversão da compra no site",218586.48,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - BOFU","[AQUISIÇÃO]  [ADV. +]",prospecting,inactive,ad,3.22363792,1929934,0.05709211,,42507.62480606,17161,13539,2.47698997,,22.02542927,"Compras no site",62.41941969,2284,0.039683,681,3.01518635,"Valor de conversão da compra no site",128168.41,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","AD - LEVE 3 PAGUE 2","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",existing,active,ad,17.2407237,1799104,0,,63425.63445095,25442,18167,2.49295002,,35.25401225,"Compras no site",53.25410113,3428,0.04681236,1191,4.22830946,"Valor de conversão da compra no site",268183.21,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",AD3,"[TOFU] [TIK + ORG ] [ABERTO]",prospecting,inactive,ad,3.18281837,1497376,0,,27925.31567185,12045,9339,2.31841558,,18.64950131,"Compras no site",47.57293982,1950,0.04873391,587,3.15652761,"Valor de conversão da compra no site",88147.03,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - BOFU ANA ELISA 22K","[EXCLUSÃO BASE] [ADV. +]",prospecting,active,ad,3.10107855,1480458,0.11368982,,24475.45831976,13341,8619,1.83460448,,16.53235574,"Compras no site",77.94731949,1243,0.02353647,314,2.31665202,"Valor de conversão da compra no site",56701.12,2026-01-01,2026-05-25
