"Nome da campanha","Nome do anúncio","Nome do conjunto de anúncios","URL do site","Tipo de mídia","Status de veiculação","Nível de veiculação",Frequência,Impressões,"Hook Rate","Reproduções de 100% do vídeo","Valor usado (BRL)","Cliques no link","Visualizações da página de destino do site","CPC (custo por clique no link)","CTR (todos)","CPM (custo por 1.000 impressões)","Tipo de resultado","Custo por resultado","Finalizações de compra iniciadas","Taxa de conversão",Resultados,"ROAS (retorno sobre o investimento em publicidade) das compras","Tipo de valor de resultado","Valor dos resultados","Início dos relatórios","Encerramento dos relatórios"
"[C] [LM - TESTE] [ABO]",AD2,"[HIBRIDO] [ESTATICO ORG.] [BID 60]",https://www.denavita.com.br/pages/laranja-moro?utm_source=Influenciador&utm_campaign=Meta+performance&utm_content=meta+performance,"Imagem e vídeo",active,ad,5.2686336,5475791,0.04059614,,49476.03055528,30130,21419,1.64208532,0.70572452,9.03541252,"Compras no site",51.32368315,3642,0.03199469,964,3.48567292,"Valor de conversão da compra no site",172457.26,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","AD - LUCIANA MOFU","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",https://track.denavita.com.br/0ksqdzlnmv/,Vídeo,inactive,ad,2.53896717,3230300,0.20492307,,83230.89,39444,32048,2.11010268,1.62099495,25.7656843,"Compras no site",58.90367304,4958,0.03582294,1413,2.7764944,"Valor de conversão da compra no site",231090.1,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD - MOFU","[PUBLICO ENG.] [DR]",https://denavita.com.br/pages/tons-clareador-de-pele,Vídeo,active,ad,2.53948161,3006185,0.37672964,,88514.34000044,71067,11205,1.24550551,3.26307263,29.44407613,"Compras no site",71.61354369,10581,0.01739204,1236,2.98522432,"Valor de conversão da compra no site",264235.16,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",AD1,"[TOFU] [TIK + ORG ] [ABERTO]",http://www.denavita.com.br/pages/laranja-moro,Imagem,inactive,ad,3.23335889,2783534,0,,35502.83,19158,15272,1.85315952,0.9391299,12.75458823,"Compras no site",55.12861801,2831,0.0336152,644,3.11236456,"Valor de conversão da compra no site",110497.75,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",AD3,"[TOFU] [TIK + ORG ] [ABERTO]",http://www.denavita.com.br/pages/laranja-moro,Imagem,inactive,ad,4.21868073,2491363,0,,50864.83,20459,15427,2.48618359,1.03019913,20.41646681,"Compras no site",44.97332449,3653,0.05528129,1131,3.56588236,"Valor de conversão da compra no site",181378,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","Criativo 1 - Brenda 29/12","Lm Perfil Novo",http://www.denavita.com.br/pages/laranja-moro,"Imagem e vídeo",not_delivering,ad,3.69600394,1799418,0.12377391,,21264.78267151,15767,9029,1.3486892,1.13247728,11.81758917,"Compras no site",53.16195668,1411,0.02536944,400,3.2425175,"Valor de conversão da compra no site",68951.43,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - JADE TOFU","[BM JADE]",https://www.denavita.com.br/pages/lm1?utm_source=Influenciador&utm_campaign=Jade+Seba+-+Performance&utm_content=Laranja+Moro,Vídeo,inactive,ad,1.97483398,1759897,0.20192204,,30153.74781188,18933,17383,1.59265556,1.7003836,17.13381397,"Compras no site",54.72549512,1662,0.02910263,551,3.28335936,"Valor de conversão da compra no site",99005.59,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD - BOFU","[PUBLICO ENG.] [DR]",https://denavita.com.br/pages/tons-clareador-de-pele,Imagem,active,ad,5.03657201,1485411,0,,43222.51,18591,15028,2.32491582,1.48194675,29.09801395,"Compras no site",50.02605324,3546,0.0464741,864,4.93704091,"Valor de conversão da compra no site",213391.3,2026-01-01,2026-05-25
"[C] [VARIOS PRODUTO] [ABO] [BID]",AD7,"[VINAGRE] [RMKT]",https://www.denavita.com.br/pages/vinagre-maca-gomas,Imagem,inactive,ad,3.53497365,1281686,0,,27903.08137687,13920,11485,2.00453171,1.33176145,21.77060636,"Compras no site",69.06703311,2061,0.02902299,404,3.0901752,"Valor de conversão da compra no site",86225.41,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - BOFU 1 — Cópia","[HIBRIDO] [ESTATICO ORG.] [BID 60]",https://www.denavita.com.br/products/laranja-moro-cafe-verde-e-cromo-30-caps?utm_source=Influenciador&utm_campaign=Meta+performance&utm_content=meta+performance,Imagem,active,ad,2.40550143,1170606,0.00255082,,8722.36460826,3893,2693,2.2405252,0.41568213,7.45115317,"Compras no site",64.61010821,424,0.03467763,135,2.94791621,"Valor de conversão da compra no site",25712.8,2026-01-01,2026-05-25
"[C] [VARIOS PRODUTO] [ABO] [BID]","AD - ORG TOFU","[VINAGRE] [RMKT]",https://www.denavita.com.br/pages/vinagre-maca-gomas,Imagem,inactive,ad,2.22176255,1162695,0,,30384.88118691,18085,14681,1.68011508,1.84476582,26.13314858,"Compras no site",85.35078985,1678,0.01968482,356,2.32275814,"Valor de conversão da compra no site",70576.73,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - DANI TOFU","[AQUISIÇÃO]  [ADV. +]",https://lm1.denavita.com.br/,Vídeo,inactive,ad,2.26858211,1137703,0.11073101,,24424.54,9919,8198,2.46239944,1.22791273,21.46829181,"Compras no site",67.10038462,1366,0.03669725,364,2.73644539,"Valor de conversão da compra no site",66836.42,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",AD5,"[BOFU] [ADV+ ABERTO] [ESTATICO]",https://lm1.denavita.com.br/,Vídeo,not_delivering,ad,2.56077937,1098349,0.09888569,,10895.36389573,5736,3875,1.89947069,0.72217483,9.91976493,"Compras no site",66.43514571,628,0.02859135,164,2.75213754,"Valor de conversão da compra no site",29985.54,2026-01-01,2026-05-25
